id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
edx-38,edx,harvard university,cs50's understanding technology,"https://www.edx.org/learn/computer-science/harvard-university-cs50-s-understanding-technology?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=14&results_level=second-level-results&term=&objectid=course-9e0d9bd0-8557-49bc-a949-4fc7ff7727ac&campaign=cs50%27s+understanding+technology&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"this is cs50’s introduction to technology for students who don’t (yet!) consider themselves computer persons.",none,none,none,introductory,6 weeks,"troubleshooting (problem solving) - computer science","none",free
edx-39,edx,universidad del rosario,inglés para todos: nivel básico,"https://www.edx.org/learn/language/universidad-del-rosario-ingles-para-todos-nivel-basico?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=15&results_level=second-level-results&term=&objectid=course-3fa209ce-db34-44a6-93a5-dcb74507d38e&campaign=ingl%c3%a9s+para+todos%3a+nivel+b%c3%a1sico&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"este curso te proporciona herramientas para que inicies tu aprendizaje de inglés desde las expresiones y estructuras más básicas.",5.0,5,6,introductory,4 weeks,"non-verbal communication - presentations - english language","none",free
edx-40,edx,harvard university,statistics and r,"https://www.edx.org/learn/r-programming/harvard-university-statistics-and-r?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=16&results_level=second-level-results&term=&objectid=course-94796bd2-6c39-4189-96ac-fce68e613c57&campaign=statistics+and+r&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"an introduction to basic statistical concepts and r programming skills necessary for analyzing data in the life sciences.",4.0,5,26,intermediate,4 weeks,"data analysis - biology - life sciences - software engineering - r (programming language) - descriptive statistics - data warehousing - confidence intervals - bioconductor (bioinformatics software) - matrix algebra - functional genomics - statistics - statistical analysis - statistical inference - linear model","none",free
edx-41,edx,davidson college,excel for beginners,"https://www.edx.org/learn/excel/davidson-college-excel-for-beginners?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=17&results_level=second-level-results&term=&objectid=course-1b1b7e50-ae85-4a5f-af09-ef2bf051383a&campaign=excel+for+beginners&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"no prior knowledge or experience with excel? no problem!",4.6,5,73,introductory,4 weeks,"data entry - vlookups - basic math - anatomy - excel macros - spreadsheets - keyboard shortcuts - microsoft excel - pivot tables and charts - google sheets - conditional formatting","none",free
edx-42,edx,harvard university,cs50's computer science for business professionals,"https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-business-professionals?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=18&results_level=second-level-results&term=&objectid=course-0c675c29-54ee-42ff-ac95-01f53450bc8b&campaign=cs50%27s+computer+science+for+business+professionals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"this is cs50’s introduction to computer science for business professionals.",none,none,none,introductory,6 weeks,"computational thinking - cloud computing - web development - computer science - internet protocols suite","none",free
edx-43,edx,harvard university,fundamentals of neuroscience part 1: the electrical properties of the ne…,"https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=19&results_level=second-level-results&term=&objectid=course-f8042b37-6a21-4afa-b9e2-6f51dcd694db&campaign=fundamentals+of+neuroscience%2c+part+1%3a+the+electrical+properties+of+the+neuron&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn how electricity makes the neurons in your brain tick.",4.8,5,56,introductory,5 weeks,"none","none",free
edx-44,edx,the linux foundation,introduction to kubernetes,"https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-kubernetes?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=20&results_level=second-level-results&term=&objectid=course-8566d539-69cb-43a5-94c2-000502df1a92&campaign=introduction+to+kubernetes&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"want to learn kubernetes? get an in-depth primer on this powerful system for managing containerized applications.",4.5,5,19,introductory,14 weeks,"multitier architecture - infrastructure - cloud-native computing - kubernetes","none",free
edx-45,edx,harvard university,cs50's introduction to databases with sql,"https://www.edx.org/learn/sql/harvard-university-cs50-s-introduction-to-databases-with-sql?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=21&results_level=second-level-results&term=&objectid=course-3e45c431-10df-423e-9f03-fb98b713cd4a&campaign=cs50%27s+introduction+to+databases+with+sql&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"an introduction to databases using a language called sql.",none,none,none,introductory,7 weeks,"scalability - sqlite - java (programming language) - data store - sql (programming language) - postgresql - python (programming language) - foreign keys - relational databases - mysql","none",free
edx-46,edx,universitat politècnica de valència,basic spanish 1: getting started,"https://www.edx.org/learn/language/universitat-politecnica-de-valencia-basic-spanish-1-getting-started?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=22&results_level=second-level-results&term=&objectid=course-b05291d7-fbff-4520-8371-7ffdcda326c4&campaign=basic+spanish+1%3a+getting+started&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"learn spanish and explore spanish culture in this introductory language course designed for english speakers.",4.5,5,63,introductory,7 weeks,"reading comprehension - grammar - writing - english language - listening skills - language education - spanish language - spanish culture","none",free
edx-47,edx,harvard university,contract law: from trust to promise to contract,"https://www.edx.org/learn/business-law/harvard-university-contract-law-from-trust-to-promise-to-contract?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=23&results_level=second-level-results&term=&objectid=course-5f1d3726-e78b-41f9-8e71-b904fddd102e&campaign=contract+law%3a+from+trust+to+promise+to+contract&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"contracts are a part of our everyday life arising in collaboration trust promise and credit. how are contracts formed? what makes a contract enforceable? what happens when one party breaks a promise?",4.8,5,143,intermediate,8 weeks,"contract law","none",free
edx-48,edx,the linux foundation,introduction to linux,"https://www.edx.org/learn/linux/the-linux-foundation-introduction-to-linux?index=product&queryid=41dd71090a6637079f627aba9cdfbac9&position=24&results_level=second-level-results&term=&objectid=course-5a631d1c-cb20-4cfc-9b49-1cc9c8fc981e&campaign=introduction+to+linux&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch",course,"never learned linux? want a refresh? develop a good working knowledge of linux using both the graphical interface and command line across the major linux distribution families.",4.4,5,76,introductory,14 weeks,"command-line interface - supercomputing - graphical user interface - linux distribution - linux - android (operating system) - mainframe computing","none",free
