edx-624,edx,seoul national university,dentistry & human life,https://www.edx.org/learn/dentistry/seoul-national-university-dentistry-human-life?index=product&queryid=e6e4bc2e041578e1317f624b85d955ca&position=24&results_level=second-level-results&term=&objectid=course-3ea8521f-37a6-4c9d-9c1d-61047d0e8fcd&campaign=dentistry+%26+human+life&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introductory lecture on dentistry as a science and life culture. have fun learning about the history story and science of dentistry that are closely related to our lives.,none,none,none,-->introductory,8 weeks,dentistry - dental health - orthognathic surgery - orthodontics,none,free 
edx-625,edx,university of bayreuth,biomaterials and biofabrication: design engineering and innovation,https://www.edx.org/learn/biomaterials/university-of-bayreuth-biomaterials-and-biofabrication-design-engineering-and-innovation?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=1&results_level=second-level-results&term=&objectid=course-8ec643b9-648f-472e-a551-5efc800ac47a&campaign=biomaterials+and+biofabrication%3a+design%2c+engineering+and+innovation&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,take our mooc to expand your knowledge about biomaterials biomedical engineering additive manufacturing tissue engineering and to obtain insights on the future of biofabrication. this mooc will benefit individuals working in the biomedical sector to discover emerging trends and achieve their next career step.,4.8,5,6,-->introductory,8 weeks,biology - ceramics - 3d printing - research - biomaterial - innovation - materials science - additive manufacturing (3d printing) - chemical engineering - biomedical engineering - biocompatibility - tissue engineering - curiosity - wound dressing,none,free 
edx-626,edx,the international monetary fund,foundations of central bank law,https://www.edx.org/learn/law/the-international-monetary-fund-foundations-of-central-bank-law?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=2&results_level=second-level-results&term=&objectid=course-49317072-3ef6-4eb0-91f5-78085c35ed36&campaign=foundations+of+central+bank+law&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this online course presented by the imf institute and the imf legal department introduces participants to the foundations of central bank law. the course covers the legal issues that are necessary to support sound and effective central banks. it addresses the legal underpinnings of the mandate decision-making structures autonomy accountability transparency and operations of central banks. this course combines theoretical components with practical exercises on how to analyze and design central bank legal frameworks.,4.7,5,10,-->intermediate,9 weeks,decision making - accountability - crisis management - operations,none,free 
edx-627,edx,ku leuven,european union law,https://www.edx.org/learn/law/ku-leuven-european-union-law?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=3&results_level=second-level-results&term=&objectid=course-536d0a42-6813-4697-984c-ae8ec63b12c0&campaign=european+union+law&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,a comprehensive yet easily accessible introduction to three key areas of european union (eu) law - institutional law selected aspects of substantive law and external relations law – provided by ku leuven instructors and accompanied by podcasts and interviews with leading experts and practitioners in the field.,none,none,none,-->introductory,11 weeks,none,none,free 
edx-628,edx,ku leuven,european history society and culture,https://www.edx.org/learn/europe/ku-leuven-european-history-society-and-culture?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=4&results_level=second-level-results&term=&objectid=course-e62d41a8-5592-49be-9898-d1c8cce463ed&campaign=european+history%2c+society+and+culture&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how key historical moments shaped and are shaping contemporary europe.,none,none,none,-->intermediate,8 weeks,none,none,free 
edx-629,edx,the international monetary fund,vitara - human resource management,https://www.edx.org/learn/economics/the-international-monetary-fund-vitara-human-resource-management?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=5&results_level=second-level-results&term=&objectid=course-54c784e6-e41d-4c58-8f7f-b9a3cec43a0c&campaign=vitara+-+human+resource+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course provides fundamental knowledge on human resource management matters within a tax administration including among others hrm strategy and its implementation hrm organizational models hrm functions and the key areas of an effective hrm system.,4.8,5,10,-->introductory,1 weeks,human resource management - tax administration,none,free 
edx-630,edx,world bank group,e-learning on digital agriculture,https://www.edx.org/learn/agriculture/world-bank-group-e-learning-on-digital-agriculture?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=6&results_level=second-level-results&term=&objectid=course-6e203b84-6858-4a91-8df9-0e28e6fd1d9a&campaign=e-learning+on+digital+agriculture&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,agriculture is no exception to digital revolution going beyond a simple adoption of information and communication technologies (icts). according to icrisat digital agriculture is defined as “ict and data ecosystems to support the development and delivery of timely targeted information and services to make farming profitable and sustainable while delivering safe nutritious and affordable food for all.”,4.7,5,7,-->introductory,5 weeks,communications - solar application - operations - technology ecosystems - agriculture - resilience,none,free 
edx-631,edx,chalmers university of technology,model-based automotive systems engineering,https://www.edx.org/learn/engineering/chalmers-university-of-technology-model-based-automotive-systems-engineering?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=7&results_level=second-level-results&term=&objectid=course-e56e7660-bc94-46fd-95c5-ae3f765da60c&campaign=model-based+automotive+systems+engineering&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to model and simulate system dynamics in automotive engineering,none,none,none,-->advanced,7 weeks,simulations - systems engineering - optimal control - mathematical modeling - automotive industry - system dynamics - mathematical optimization,none,free 
edx-632,edx,the international monetary fund,vitara - compliance risk management,https://www.edx.org/learn/economics/the-international-monetary-fund-vitara-compliance-risk-management?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=8&results_level=second-level-results&term=&objectid=course-1477313e-e41a-4a9f-8601-94ac6506f3a9&campaign=vitara+-+compliance+risk+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this self-paced course provides fundamental knowledge on modern compliance risk management (crm) good practices. the strategic goal of crm is to steadily increase the level of voluntary compliance over time by identifying and prioritizing risks and implementing treatments to address the risks. in this module you will learn how adopting a systematic approach to crm supports tax administrations to deliver this core function and achieve their overall goals successfully.,4.6,5,5,-->introductory,1 weeks,none,none,free 
edx-633,edx,israelx,essentials of genomics and biomedical informatics,https://www.edx.org/learn/biomedical-sciences/israelx-essentials-of-genomics-and-biomedical-informatics?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=9&results_level=second-level-results&term=&objectid=course-c624e7bf-ec65-419c-8c56-9feed573e29f&campaign=essentials+of+genomics+and+biomedical+informatics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course presents clinicians and digital health enthusiasts with an overview of the data revolution in medicine and how to exploit it for research and in the clinic. the course will not make you a bioinformatician but will introduce the main concepts tools algorithms and databases in this field.,none,none,none,-->advanced,12 weeks,computational tools - algorithms - curriculum development - biomedical informatics - bioinformatics - computational biology - medical records - personalized medicine - ribonucleic acid sequencing - biological systems - data science - machine learning - genomics - electronic medical record - biology - artificial intelligence,none,free 
edx-634,edx,berklee college of music,grabar y mezclar música,https://www.edx.org/learn/music-business/berklee-college-of-music-grabar-y-mezclar-musica?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=10&results_level=second-level-results&term=&objectid=course-c588f1ee-ce25-4d39-907f-6df60d86f7f9&campaign=grabar+y+mezclar+m%c3%basica&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,conoce y practica las técnicas y herramientas que necesita un productor musical para escribir y producir su propia música.,none,none,none,introductory,4 weeks,production planning - music production - record producer - studio recording,none,free 
edx-635,edx,ibm,apache spark for data engineering and machine learning,https://www.edx.org/learn/apache-spark/ibm-apache-spark-for-data-engineering-and-machine-learning?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=11&results_level=second-level-results&term=&objectid=course-6b2559aa-c997-46df-9041-05aca4affb81&campaign=apache+spark+for+data+engineering+and+machine+learning&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this short course introduces you to the fundamentals of data engineering and machine learning with apache spark including spark structured streaming etl for machine learning (ml) pipelines and spark ml. by the end of the course you will have hands-on experience applying spark skills to etl and ml workflows.,none,none,none,-->intermediate,3 weeks,batch processing - spark dataframes - sql (programming language) - machine learning - extract transform load (etl) - apache spark - operations - stream processing - unsupervised learning - apache hadoop - data engineering - cluster analysis - graph theory - big data,none,free 
edx-636,edx,harvard university,global china: from the mongols to the ming,https://www.edx.org/learn/chinese-history/harvard-university-global-china-from-the-mongols-to-the-ming?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=12&results_level=second-level-results&term=&objectid=course-ccdd4363-a3e6-4a41-b60a-2b909d16d4dd&campaign=global+china%3a+from+the+mongols+to+the+ming&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore the impact of the conquest dynasties and the world of the ming.,none,none,none,-->introductory,15 weeks,none,none,free 
edx-637,edx,the international monetary fund,financial soundness indicators,https://www.edx.org/learn/economics-finance/the-international-monetary-fund-financial-soundness-indicators?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=13&results_level=second-level-results&term=&objectid=course-d5356d12-387f-464b-9974-ccc0b2346084&campaign=financial+soundness+indicators&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,the financial soundness indicators (fsis) were developed by the imf together with the international community with the aim of supporting analysis and assessing strengths and vulnerabilities of financial systems and their corporate and household counterparts. fsis are widely used by researchers analysts and policymakers around the world to monitor the soundness of the financial system as a whole from a macroprudential perspective. learn about the collection compilation and analisys of fsis in this course.,none,none,none,-->intermediate,5 weeks,none,none,free 
edx-638,edx,state bank of india,introduction to behavioural finance,https://www.edx.org/learn/finance/state-bank-of-india-introduction-to-behavioural-finance?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=14&results_level=second-level-results&term=&objectid=course-5611bd7e-68e1-4dfb-bdca-836559746c26&campaign=introduction+to+behavioural+finance&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,behavioural finance is not just another branch of finance. it is the study of the influence of psychology on the behavior of human beings in their financial decision-making. it helps us in studying its subsequent effects on the financial markets. it highlights the fact that human beings are not always rational have limits to their self-control and are influenced by their own biases. it is the study of how investors systematically make errors in judgement or “mental mistakes”. behavioural finance is a relatively new field in economics and has become an interesting topic for investment professionals.,none,none,none,introductory,3 weeks,self-control - economics - psychology - influencing skills - decision making - investments - financial market - finance,none,free 
edx-639,edx,hec montréal,la gestion des ressources humaines,https://www.edx.org/learn/human-resources/hec-montreal-la-gestion-des-ressources-humaines?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=15&results_level=second-level-results&term=&objectid=course-47bdb468-3d51-42c2-b11a-85267dd854e6&campaign=la+gestion+des+ressources+humaines&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,initiation aux pratiques courantes et aux connaissances spécifiques à la gestion du personnel. rôles et responsabilités du gestionnaire face aux nombreux défis de la gestion des employés.,4.3,5,16,-->introductory,7 weeks,performance management - management - human resource management - occupational safety and health - planning - employee onboarding,none,free 
edx-640,edx,raspberry pi foundation,introduction to web development,https://www.edx.org/learn/computer-programming/raspberry-pi-foundation-introduction-to-web-development?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=16&results_level=second-level-results&term=&objectid=course-5464bdbd-4816-49b8-9944-36137b36b1b3&campaign=introduction+to+web+development&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn to build your own interactive websites using html css and javascript.,none,none,none,-->intermediate,3 weeks,none,none,free 
edx-641,edx,amazon web services,introduction to machine learning on aws,https://www.edx.org/learn/amazon-web-services-aws/amazon-web-services-introduction-to-machine-learning-on-aws?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=17&results_level=second-level-results&term=&objectid=course-e766958e-e6fc-48b1-bff3-33556c106b29&campaign=introduction+to+machine+learning+on+aws&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course is intended for software developers and engineers taking their first steps with the aws services that do much of heavy lifting of machine learning for you.,none,none,none,-->introductory,2 weeks,none,none,free 
edx-642,edx,ku leuven,existential well-being counseling: a person-centered experiential approach,https://www.edx.org/learn/health-wellness/ku-leuven-existential-well-being-counseling-a-person-centered-experiential-approach?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=18&results_level=second-level-results&term=&objectid=course-e7b4ba89-e03d-4b47-87fb-b6695a1cc678&campaign=existential+well-being+counseling%3a+a+person-centered+experiential+approach&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore existential themes in your personal and professional life. develop strengths and counseling skills to improve your well-being and the well-being of others.,4.8,5,23,-->introductory,12 weeks,psychotherapy - spirituality - psychology - experiential learning - empathy - demonstration skills - research,none,free 
edx-643,edx,ibm,deep learning fundamentals with keras,https://www.edx.org/learn/deep-learning/ibm-deep-learning-fundamentals-with-keras?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=19&results_level=second-level-results&term=&objectid=course-d47ddc85-0bf0-41d9-94ff-4fde53a95d1a&campaign=deep+learning+fundamentals+with+keras&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,new to deep learning? start with this course that will not only introduce you to the field of deep learning but give you the opportunity to build your first deep learning model using thepopular keras library.,4.6,5,14,-->intermediate,5 weeks,artificial intelligence - keras (neural network library) - artificial neural networks - deep learning - data science,none,free 
edx-644,edx,state bank of india,fundamentals of international trade finance,https://www.edx.org/learn/international-trade/state-bank-of-india-fundamentals-of-international-trade-finance?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=20&results_level=second-level-results&term=&objectid=course-77f72bb2-b40a-4816-b696-11b3d48f27c3&campaign=fundamentals+of+international+trade+finance&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,the course is aimed at providing a comprehensive knowledge into the world of international trade finance. the course comprises of various trade finance products for exporters and importers sanctions scenario emerging trends in international trade finance and latest technological innovations.,none,none,none,-->intermediate,4 weeks,none,none,free 
edx-645,edx,delft university of technology,global housing design,https://www.edx.org/learn/housing/delft-university-of-technology-global-housing-design?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=21&results_level=second-level-results&term=&objectid=course-39b62a9f-39e7-4ebf-8dd9-8b4aeeb7db33&campaign=global+housing+design&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn about the key design strategies required to develop adequate housing and inclusive dwelling environments for sustainable urban development.,4.8,5,6,-->intermediate,6 weeks,design strategies - animations - built environment,none,free 
edx-646,edx,delft university of technology,statistics,https://www.edx.org/learn/statistics/delft-university-of-technology-statistics?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=22&results_level=second-level-results&term=&objectid=course-03b2ee2b-8ba5-4ddb-b1a6-3e69de55a26a&campaign=statistics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course provides an overview of bachelor-level statistics. you will review the concepts of descriptive and inferential statistics. you will use the statistical software package r on real data to gain insight in these topics.,none,none,none,-->intermediate,3 weeks,statistical inference - descriptive statistics - r (programming language) - machine learning - statistical software - data science - basic math,none,free 
edx-647,edx,berklee college of music,introduction to the music business,https://www.edx.org/learn/music-business/berklee-college-of-music-introduction-to-the-music-business?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=23&results_level=second-level-results&term=&objectid=course-966e325a-b6a3-44af-aa03-7fed0c35a2e2&campaign=introduction+to+the+music+business&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the latest about the rapidly changing music industry from recording publishing and distribution to legal issues confronting music commerce.,4.7,5,10,introductory,6 weeks,music industry,none,free 
edx-648,edx,the linux foundation,pytorch and deep learning for decision makers,https://www.edx.org/learn/pytorch/the-linux-foundation-pytorch-and-deep-learning-for-decision-makers?index=product&queryid=016dad3071c3da77eb3b8b4b23e7db3f&position=24&results_level=second-level-results&term=&objectid=course-e7a8747c-c83c-4744-a14c-775579136778&campaign=pytorch+and+deep+learning+for+decision+makers&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how pytorch a deep learning framework can be used to automate and optimize processes through the development and deployment of state-of-the-art ai applications. the course will also help you understand the importance of data quality how to choose the right model and the challenges in deploying and maintaining both deep learning and machine learning applications.,none,none,none,-->introductory,7 weeks,deep learning - applications of artificial intelligence - pytorch (machine learning library) - machine learning - business valuation - vulnerability - data quality - artificial intelligence,none,free 
edx-649,edx,indian institute of management bangalore,behavioral economics and public policy,https://www.edx.org/learn/behavioral-economics/indian-institute-of-management-bangalore-behavioral-economics-and-public-policy?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=1&results_level=second-level-results&term=&objectid=course-51d9f899-ef8d-4024-9ac4-b3b7b0ab3adf&campaign=behavioral+economics+and+public+policy&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course provides a perspective to understanding decision making. it will equip the learners with tools to better understand these deep psychological processes. it will discuss the topics like loss aversion nudges some notions of fairness and will also deal with practical examples which will help to form strategies in real life work environment.,none,none,none,-->intermediate,6 weeks,decision making - psychology - public policies - economics,none,free 
edx-650,edx,the smithsonian institution,foundations for transforming teaching and learning about native americans,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-foundations-for-transforming-teaching-and-learning-about-native-americans?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=2&results_level=second-level-results&term=&objectid=course-20a1a610-1ec5-4280-9a1a-ccd1e3feb77f&campaign=foundations+for+transforming+teaching+and+learning+about+native+americans&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,in this course learners will join the smithsonian’s national museum of the american indian to explore the impact of problematic narratives of native americans on u.s. society and education and learn ways to recognize and share more complete narratives both inside and outside the classroom.,4.8,5,5,-->introductory,4 weeks,social studies - curriculum development - teaching,none,free 
edx-651,edx,ibm,continuous integration and delivery (ci/cd),https://www.edx.org/learn/continuous-integration/ibm-continuous-integration-and-delivery-ci-cd?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=3&results_level=second-level-results&term=&objectid=course-19c43aa5-5a9e-4a4c-bb25-2c870f54a460&campaign=continuous+integration+and+delivery+%28ci%2fcd%29&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course is an introduction to continuous integration and continuous delivery (ci/cd) a devops best practice to ensure code quality is achieved. it includes multiple hands-on labs using real-world tools to practice your ci/cd skills.,none,none,none,-->intermediate,5 weeks,openshift - devops - github - continuous integration - continuous delivery - software quality (sqa/sqc) - git (version control system) - automation - kubernetes - development environment - software development - workflow management,none,free 
edx-652,edx,logyca,e-commerce logistics and last mile,https://www.edx.org/learn/ecommerce/logyca-e-commerce-logistics-and-last-mile?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=4&results_level=second-level-results&term=&objectid=course-a3a6d763-71ec-4c24-862f-d8ddb981c53e&campaign=e-commerce+logistics+and+last+mile&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,high demand in the e-commerce market and the transportation of products are very important factors in customer satisfaction. from the moment the product is picked up at the store until it reaches the final client it goes through different stages where the utmost care is needed. it is a great challenge to ensure that delivery is timely and in keeping with the client’s expectations. last mile logistics is vital for e-commerce.,4.6,5,5,-->introductory,5 weeks,operations - sales - customer service - customer satisfaction - virtual sales,none,free 
edx-653,edx,the university of maryland college park,sustainable construction management,https://www.edx.org/learn/construction/the-university-of-maryland-college-park-sustainable-construction-management?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=5&results_level=second-level-results&term=&objectid=course-38e678c9-527f-42af-bb44-174c3bb73f93&campaign=sustainable+construction+management&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn sustainable construction management practices and how to implement a sustainable green project. sustainability has become essential for private and public owners who want to incorporate the economic social and environmental aspects of their project to improve the triple bottom line.,4.6,5,7,-->intermediate,4 weeks,roofing - planning - laser scanning - sustainability - energy management - scheduling - renovation - document production - erosions - building design - management - critical path method (cpm) scheduling - hvac - building information modeling - operations - construction - energy consumption - green building - construction management,none,free 
edx-654,edx,harvard university,digital humanities in practice: from research questions to results,https://www.edx.org/learn/metadata/harvard-university-digital-humanities-in-practice-from-research-questions-to-results?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=6&results_level=second-level-results&term=&objectid=course-2d87cc8a-d13a-412e-89d8-f33a10de75c2&campaign=digital+humanities+in+practice%3a+from+research+questions+to+results&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,combine literary research with data science to find answers in unexpected ways. learn basic coding tools to help save time and draw insights from thousands of digital documents at once.,none,none,none,-->intermediate,10 weeks,text mining - digital humanities - electronic documents - printing press - typewriters - data science - research - journalism - public speaking,none,free 
edx-655,edx,berklee college of music,vocal recording technology,https://www.edx.org/learn/audio-engineering/berklee-college-of-music-vocal-recording-technology?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=7&results_level=second-level-results&term=&objectid=course-c1e3bae7-d5d9-41ed-bd00-9a3aab4e3314&campaign=vocal+recording+technology&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,explore emerging innovations in vocal production audio engineering recording and mixing.,4.6,5,5,introductory,6 weeks,audio engineering - music production - equalization - record producer - creativity,none,free 
edx-656,edx,delft university of technology,solar energy 1,https://www.edx.org/learn/solar-energy/delft-university-of-technology-solar-energy-from-fundamentals-to-its-role-in-the-energy-transition?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=8&results_level=second-level-results&term=&objectid=course-dbf2e77f-c789-49a8-a961-f11468ab47e3&campaign=solar+energy+1&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn about the leading role of solar energy in rural electrification and climate change mitigation. introduce yourself to the physical principle of the photovoltaic energy conversion of solar cells.,none,none,none,-->introductory,4 weeks,physics - optics - management - semiconductor materials - energy conversion - electrical networks - climate change mitigation,none,free 
edx-657,edx,universidad nacional de córdoba,mi propia huerta orgánica,https://www.edx.org/learn/soil/universidad-nacional-de-cordoba-mi-propia-huerta-organica?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=9&results_level=second-level-results&term=&objectid=course-f3eb7386-7ca7-42c4-a67f-fee1d2060b7f&campaign=mi+propia+huerta+org%c3%a1nica&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,este curso está realizado por profesionales para todas aquellas personas que tienen ganas de tener una huerta orgánica que consideran que es muy importante el cultivo sus propias hortalizas plantas aromáticas frutales beneficiosos para el cuidado de su salud y la economía familiar.,none,none,none,-->introductory,4 weeks,livelihood - irrigation (landscaping and agriculture) - soil science,none,free 
edx-658,edx,universitat politècnica de valència,introducción a la energía solar fotovoltaica: el módulo fotovoltaico,https://www.edx.org/learn/solar-energy/universitat-politecnica-de-valencia-introduccion-a-la-energia-solar-fotovoltaica-el-modulo-fotovoltaico?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=10&results_level=second-level-results&term=&objectid=course-b91acc03-5c28-466a-8534-f8549e57b564&campaign=introducci%c3%b3n+a+la+energ%c3%ada+solar+fotovoltaica%3a+el+m%c3%b3dulo+fotovoltaico&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,conocerel componente más importante en las instalaciones fotovoltaicas los módulos fotovoltaicosúnicos dispositivos capaces de convertir directamente la energía luminosa procedente del sol en energía eléctrica de continua.,4.1,5,10,-->intermediate,4 weeks,energy production - electricity - photovoltaics,none,free 
edx-659,edx,the international monetary fund,financial development and financial inclusion,https://www.edx.org/learn/financial-management/the-international-monetary-fund-financial-development-and-financial-inclusion?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=11&results_level=second-level-results&term=&objectid=course-f9c23be1-aba6-422d-a10e-b3c02331426d&campaign=financial+development+and+financial+inclusion&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to develop an efficient inclusive and stable financial sector that is essential for a thriving economy.,4.3,5,14,intermediate,7 weeks,financial technology (fintech) - financial market - equity markets - investment banking,none,free 
edx-660,edx,universidad autónoma de madrid,introducción a la programación en c: tipos de datos y estructuras,https://www.edx.org/learn/c-programming/universidad-autonoma-de-madrid-introduccion-a-la-programacion-en-c-tipos-de-datos-y-estructuras?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=12&results_level=second-level-results&term=&objectid=course-c0a14304-f16c-40ed-9cd7-7ab9c6ead0cf&campaign=introducci%c3%b3n+a+la+programaci%c3%b3n+en+c%3a+tipos+de+datos+y+estructuras&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,aprende a programar en c uno de los lenguajes de programación más usados. en este curso en línea adquirirás los conocimientos necesarios para comenzar a convertirte en un experto en c.,none,none,none,-->introductory,5 weeks,computer science,none,free 
edx-661,edx,the national university of singapore,computational reasoning with microsoft excel,https://www.edx.org/learn/excel/the-national-university-of-singapore-computational-reasoning-with-microsoft-excel?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=13&results_level=second-level-results&term=&objectid=course-ccd7745a-3718-47c9-b090-ef096208b58b&campaign=computational+reasoning+with+microsoft+excel&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to critically evaluate solutions and make well-informed decisions based on data by merging microsoft excel skills with philosophical critical reasoning. no prior experience with microsoft excel required.,none,none,none,-->introductory,8 weeks,critical thinking - computational tools - microsoft excel,none,free 
edx-662,edx,the university of queensland,statistics for business analytics: modelling and forecasting,https://www.edx.org/learn/business-analytics/the-university-of-queensland-statistics-for-business-analytics-modelling-and-forecasting?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=14&results_level=second-level-results&term=&objectid=course-5652d94b-7503-4b12-b259-159410dc4575&campaign=statistics+for+business+analytics%3a+modelling+and+forecasting&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this is a great course for anyone who wants to gain foundational and critical analysis and statistics skills with no prior background.,none,none,none,introductory,10 weeks,customer service - critical thinking - sales - time series - statistics - forecasting - business analytics - statistical methods,none,free 
edx-663,edx,university of adelaide,music technology foundations,https://www.edx.org/learn/music-arts/university-of-adelaide-music-technology-foundations?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=15&results_level=second-level-results&term=&objectid=course-553b147a-6734-49f5-99ed-40ecf1e20eaa&campaign=music+technology+foundations&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn how to use creative technologies to make your own music and get a step closer to a career in music.,none,none,none,-->introductory,6 weeks,electronic music - midi - music technology,none,free 
edx-664,edx,the university of california san diego,data structures fundamentals,https://www.edx.org/learn/data-structures/the-university-of-california-san-diego-data-structures-fundamentals?index=product&queryid=2198d13c01d4bf0334eb72ed353ff888&position=16&results_level=second-level-results&term=&objectid=course-7b3e45ca-d79b-48e3-9b78-4e91f4209e3b&campaign=data+structures+fundamentals&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn about data structures that are used in computational thinking – both basic and advanced.,none,none,none,-->intermediate,6 weeks,c++ (programming language) - computational thinking - priority queue - operations - python (programming language) - java (programming language) - algorithms - data structures,none,free 
