edx-32,edx,harvard university,managing happiness,https://www.edx.org/learn/happiness/harvard-university-managing-happiness?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=8&results_level=second-level-results&term=&objectid=course-56feae4a-7386-4499-8f1d-cf4b17c6cc87&campaign=managing+happiness&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,managing happiness encourages you to explore the science of happiness allowing you to find your truest self. through cutting-edge survey tools the best research and trends in social science positive psychology neuroscience and philosophy learners unlock the strategies to create a more purposeful life full of long-lasting enjoyment and satisfaction.,4.8,5,127,-->introductory,6 weeks,psychology - research - lifelong learning - social sciences,none,free 
edx-33,edx,harvard university,cs50's introduction to game development,https://www.edx.org/learn/game-development/harvard-university-cs50-s-introduction-to-game-development?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=9&results_level=second-level-results&term=&objectid=course-8d1da557-03db-4175-b881-e0480d706d96&campaign=cs50%27s+introduction+to+game+development&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn about the development of 2d and 3d interactive games in this hands-on course as you explore the design of games such as super mario bros. pokémon angry birds and more.,none,none,none,-->intermediate,12 weeks,video game development,none,free 
edx-34,edx,educational testing service,toefl® test preparation: the insider’s guide,https://www.edx.org/learn/test-prep/educational-testing-service-toefl-r-test-preparation-the-insiders-guide?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=10&results_level=second-level-results&term=&objectid=course-ee4f4f12-e6ec-45ac-94df-b90b4b022903&campaign=toefl%c2%ae+test+preparation%3a+the+insider%e2%80%99s+guide&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this course has been updated to reflect the enhanced toefl ibt test.,4.6,5,76,-->introductory,6 weeks,planning - test of english as a foreign language (toefl) - english language - artificial intelligence,none,free 
edx-35,edx,harvard university,data science: r basics,https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=11&results_level=second-level-results&term=&objectid=course-91f52ef3-fa3f-4934-9d19-8d5a32635cd4&campaign=data+science%3a+r+basics&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,build a foundation in r and learn how to wrangle analyze and visualize data.,4.5,5,93,-->introductory,8 weeks,probability - ggplot2 - version control - dplyr - unix - sorting - r (programming language) - linux - document preparations - git (version control system) - github - rstudio - data visualization - machine learning - data wrangling - data analysis - file organization - data science,none,free 
edx-36,edx,harvard university,cs50's introduction to programming with scratch,https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=12&results_level=second-level-results&term=&objectid=course-8290161d-6419-41c6-87a8-b0fa61b8bb86&campaign=cs50%27s+introduction+to+programming+with+scratch&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,a gentle introduction to programming that prepares you for subsequent courses in coding.,none,none,none,-->introductory,3 weeks,visual programming language (vpl) - computer science - java (programming language) - typing - python (programming language) - animations,none,free 
edx-37,edx,harvard university,introduction to data science with python,https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=13&results_level=second-level-results&term=&objectid=course-c2004e8e-3882-4927-a883-1c5f39a28865&campaign=introduction+to+data+science+with+python&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,learn the concepts and techniques that make up the foundation of data science and machine learning.,4.5,5,19,-->intermediate,8 weeks,artificial intelligence - numpy - data science - r (programming language) - algorithms - python (programming language) - matplotlib - pandas (python package) - parsing - scikit-learn (machine learning library) - machine learning - scientific methods,none,free 
edx-38,edx,harvard university,cs50's understanding technology,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-understanding-technology?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=14&results_level=second-level-results&term=&objectid=course-9e0d9bd0-8557-49bc-a949-4fc7ff7727ac&campaign=cs50%27s+understanding+technology&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,this is cs50’s introduction to technology for students who don’t (yet!) consider themselves computer persons.,none,none,none,-->introductory,6 weeks,troubleshooting (problem solving) - computer science,none,free 
edx-39,edx,universidad del rosario,inglés para todos: nivel básico,https://www.edx.org/learn/language/universidad-del-rosario-ingles-para-todos-nivel-basico?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=15&results_level=second-level-results&term=&objectid=course-3fa209ce-db34-44a6-93a5-dcb74507d38e&campaign=ingl%c3%a9s+para+todos%3a+nivel+b%c3%a1sico&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,este curso te proporciona herramientas para que inicies tu aprendizaje de inglés desde las expresiones y estructuras más básicas.,5.0,5,6,-->introductory,4 weeks,english language - non-verbal communication - presentations,none,free 
edx-40,edx,harvard university,statistics and r,https://www.edx.org/learn/r-programming/harvard-university-statistics-and-r?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=16&results_level=second-level-results&term=&objectid=course-94796bd2-6c39-4189-96ac-fce68e613c57&campaign=statistics+and+r&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,an introduction to basic statistical concepts and r programming skills necessary for analyzing data in the life sciences.,4.0,5,26,-->intermediate,4 weeks,data analysis - biology - life sciences - software engineering - r (programming language) - descriptive statistics - data warehousing - confidence intervals - bioconductor (bioinformatics software) - matrix algebra - functional genomics - statistics - statistical analysis - statistical inference - linear model,none,free 
edx-41,edx,davidson college,excel for beginners,https://www.edx.org/learn/excel/davidson-college-excel-for-beginners?index=product&queryid=d36f2cd0a8f2fd0895b59097ce6cea27&position=17&results_level=second-level-results&term=&objectid=course-1b1b7e50-ae85-4a5f-af09-ef2bf051383a&campaign=excel+for+beginners&source=edx&product_category=course&placement_url=https%3a%2f%2fwww.edx.org%2fsearch,course,no prior knowledge or experience with excel? no problem!,4.6,5,73,-->introductory,4 weeks,data entry - vlookups - basic math - anatomy - excel macros - spreadsheets - keyboard shortcuts - microsoft excel - pivot tables and charts - google sheets - conditional formatting,none,free 
