id,platform,institution,title,url,class_type,description,rating,rating_max,num_reviews,difficulty,duration,skills,prereqs,cost_type
coursera-351,coursera,google,google project management (de),https://www.coursera.org/professional-certificates/google-project-management-de,professional certificate,in diesem programm erlernen sie gefragte fähigkeiten mit denen sie in weniger als sechs monaten soweit sind eine tätigkeit im projektmanagement zu beginnen. vorerfahrungen oder ein abschluss sind nicht erforderlich.,4.2,5,52,beginner,3 - 6 months,design and product - microsoft excel - software engineering - leadership and management - business analysis - business design - data analysis - marketing design - creativity - persona research - customer analysis - project management,ein abschluss oder vorerfahrungen sind nicht erforderlich,paid 
coursera-352,coursera,university of london,global diplomacy – diplomacy in the modern world,https://www.coursera.org/learn/global-diplomacy,course,none,4.7,5,4.6k,mixed,1 - 3 months,critical thinking - negotiation,none,paid 
coursera-353,coursera,stanford university,probabilistic graphical models,https://www.coursera.org/specializations/probabilistic-graphical-models,specialization,probabilistic graphical models. master a new way of reasoning and learning in complex domains,4.6,5,1.5k,advanced,3 - 6 months,bayesian network - probability & statistics - general statistics - graph theory - probability distribution - bayesian statistics - markov model - correlation and dependence - machine learning - network model - decision making - human learning - algorithms,none,paid 
coursera-354,coursera,northwestern university,organizational leadership,https://www.coursera.org/specializations/organizational-leadership,specialization,successfully lead in an ever-changing business environment. master key strategies to successfully lead an organizational change effort in just five courses plus a final capstone project.,4.7,5,4.5k,intermediate,3 - 6 months,leadership and management - communication - leadership development - strategy and operations - decision making - strategy - business psychology - collaboration - people analysis - people development - performance management - influencing - organizational development - change management - employee relations - negotiation - marketing - innovation - storytelling,none,paid 
coursera-355,coursera,johns hopkins university,health informatics,https://www.coursera.org/specializations/health-informatics,specialization,learn to tackle health it & big data the right way. become a leader in the dynamic and rapidly growing field of health informatics.,4.4,5,749,beginner,3 - 6 months,leadership and management - data analysis - data management - clinical data management - decision making - systems design - data model - data structures - databases - user experience - change management - human computer interaction - big data - data analysis software - database design - database theory - project management - data science - health,while there are no prerequisites prior experience with or knowledge of health healthcare or technology and statistics are helpful.,paid 
coursera-356,coursera,learnquest,itil 4 exam preparation,https://www.coursera.org/learn/itil-4-exam-preparation,course,none,4.7,5,945,mixed,1 - 3 months,organizational development - leadership and management,none,paid 
coursera-357,coursera,google,create high-fidelity designs and prototypes in figma,https://www.coursera.org/learn/high-fidelity-designs-prototype,course,this course is part of google ux design professional certificate,4.8,5,3.5k,beginner,1 - 3 months,user experience,none,paid 
coursera-358,coursera,university of pennsylvania,english for career development,https://www.coursera.org/learn/careerdevelopment,course,none,4.8,5,14.7k,mixed,1 - 3 months,business communication - critical thinking - human resources - human resources operations - application development - people management,none,paid 
coursera-359,coursera,duke university,impact measurement & management for the sdgs,https://www.coursera.org/learn/impact-for-sdgs,course,none,4.8,5,491,mixed,1 - 3 months,entrepreneurship - leadership and management - marketing - sales - strategy - strategy and operations - business psychology - organizational development - business process management - finance,none,paid 
coursera-360,coursera,google,think outside the inbox: email marketing,https://www.coursera.org/learn/think-outside-the-inbox,course,this course is part of google digital marketing & e-commerce professional certificate,4.8,5,1.5k,beginner,1 - 3 months,digital marketing - marketing - marketing management - media strategy & planning - communication - data analysis - writing - strategy,none,paid 
coursera-361,coursera,ibm,data analysis with python,https://www.coursera.org/learn/data-analysis-with-python,course,this course is part of multiple programs. learn more,4.7,5,17.4k,beginner,1 - 3 months,python programming - data analysis - machine learning - computer programming - exploratory data analysis - general statistics - machine learning algorithms - plot (graphics) - probability & statistics - regression - statistical programming,you should have a working knowledge of python and jupyter notebooks.,paid 
coursera-362,coursera,google,google ux design,https://www.coursera.org/professional-certificates/conception-ux-google,professional certificate,votre parcours professionnel dans la conception ux. ce programme vous permettra d’acquérir les compétences requises pour prétendre à un emploi en moins de 6 mois. aucun diplôme ni expérience n’est requis.,4.7,5,65,beginner,3 - 6 months,business analysis - business development - business psychology - communication - decision making - design and product - entrepreneurship - leadership and management - planning - strategy - strategy and operations - business design - critical thinking - people management - resilience - collaboration - c++ programming - conflict management - microsoft excel - adaptability - user experience - user experience design,aucun diplôme ni expérience requis.,paid 
coursera-363,coursera,meta,meta ar developer,https://www.coursera.org/professional-certificates/meta-ar-developer,professional certificate,prepare for a career as an ar developer. in this program advance your software development skills with the latest augmented reality concepts tools and technologies.,4.6,5,86,intermediate,3 - 6 months,javascript,experience with object oriented programming and basic web development (javascript is a plus but not required).,paid 
coursera-364,coursera,ie business school,branding: the creative journey,https://www.coursera.org/specializations/branding-the-creative-journey,specialization,begin your career as a branding specialist. master branding strategies branded content generation image creation and customer experience,4.6,5,1.4k,beginner,3 - 6 months,brand management - marketing - leadership and management - advertising - communication - strategy - creativity - strategy and operations - digital marketing - user experience - customer analysis - design and product - media strategy & planning - customer relationship management - customer success - customer support - social media - storytelling - user experience design - visual design - graphic design - journalism,any digital content creativity or communication lover can take this specialization.,paid 
coursera-365,coursera,university of toronto,gis mapping and spatial analysis,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,specialization,launch your career in mapping and gis!. learn the concepts tools and techniques to make great maps that answer geographic questions.,4.9,5,2.7k,beginner,3 - 6 months,arcgis - data analysis - data visualization - geovisualization - spatial analysis - spatial data analysis - gis software - data analysis software - data visualization software - data model - data management - databases - statistical analysis - mergers & acquisitions,none,paid 
coursera-366,coursera,stanford university,cryptography i,https://www.coursera.org/learn/crypto,course,none,4.8,5,4.2k,mixed,1 - 3 months,algorithms - cryptography - mathematics - security engineering - theoretical computer science - probability & statistics - critical thinking - mathematical theory & analysis - probability distribution - system security,none,paid 
coursera-367,coursera,ibm,data science methodology,https://www.coursera.org/learn/data-science-methodology,course,this course is part of multiple programs. learn more,4.6,5,19.6k,beginner,1 - 4 weeks,data science - data analysis - data model - machine learning - python programming - statistical machine learning - data mining,no previous experience required although prior use of jupyter notebooks will be beneficial.,paid 
coursera-368,coursera,university system of georgia,six sigma green belt,https://www.coursera.org/specializations/six-sigma-green-belt,specialization,improve your career with advanced six sigma. dive deeper into proven principles and tools to improve quality assurance in your organization,4.7,5,4k,intermediate,3 - 6 months,data analysis - probability & statistics - business analysis - process analysis - statistical analysis - general statistics - operational analysis - business process management - organizational development - performance management - problem solving - project management - statistical tests - statistical visualization - strategy and operations - decision making - leadership and management - mathematics - operations management - basic descriptive statistics - supply chain and logistics - entrepreneurship - planning - probability distribution - mathematical theory & analysis - product management - experiment - interactive data visualization - interactive design,none,paid 
coursera-369,coursera,microsoft,work smarter with microsoft word,https://www.coursera.org/learn/microsoft-word-work-smarter,course,this course is part of microsoft 365 fundamentals specialization,4.7,5,977,beginner,1 - 3 months,collaboration - communication - computer graphics - microsoft excel - visual design - research and design - writing - interactive data visualization - leadership and management - user experience design,understanding of the basics of using a windows-based computer. experience with printing and using a web browser are an asset but not required.,paid 
coursera-370,coursera,macquarie university,excel skills for business: essentials,https://www.coursera.org/learn/excel-essentials,course,this course is part of excel skills for business specialization,4.9,5,47.6k,beginner,1 - 3 months,microsoft excel - spreadsheet software - data visualization - plot (graphics) - data analysis - leadership and management,this course is appropriate for anyone who is interested in learning about microsoft excel. you do not need previous experience with excel.,paid 
coursera-371,coursera,university of geneva,investment management,https://www.coursera.org/specializations/investment-management,specialization,make smart investment decisions in a global world. learn how a wealth-generating investment portfolio functions in practice.,4.7,5,7.2k,beginner,3 - 6 months,finance - investment management - leadership and management - financial analysis - risk management - financial management - market analysis - strategy - decision making - strategy and operations - correlation and dependence - performance management - probability & statistics - securities trading - mathematical theory & analysis - statistical analysis - accounting,none,paid 
coursera-372,coursera,eindhoven university of technology,ethics technology and engineering,https://www.coursera.org/learn/ethics-technology-engineering,course,none,4.7,5,702,beginner,1 - 3 months,problem solving,none,paid 
coursera-373,coursera,northwestern university,modern robotics: mechanics planning and control,https://www.coursera.org/specializations/modernrobotics,specialization,the most important concepts in modern robotics. a study of the kinematics dynamics motion planning and control of mobile robots and robot arms.,4.7,5,1k,intermediate,3 - 6 months,mathematics - linear algebra - algebra - geometry - computer programming - mathematical theory & analysis - computer programming tools - matlab - python programming - algorithms - critical thinking - problem solving - differential equations - graph theory - spatial analysis - planning - supply chain and logistics,none,paid 
coursera-374,coursera,rice university,business statistics and analysis,https://www.coursera.org/specializations/business-statistics-analysis,specialization,build data analysis and business modeling skills. gain the ability to apply statistics and data analysis tools to various business applications.,4.7,5,12.1k,beginner,3 - 6 months,probability & statistics - statistical analysis - business analysis - general statistics - data analysis - spreadsheet software - basic descriptive statistics - microsoft excel - statistical tests - probability distribution - business intelligence - data analysis software - regression - data management - critical thinking - data visualization - plot (graphics) - statistical visualization - problem solving,none,paid 
coursera-375,coursera,johns hopkins university,neuroscience and neuroimaging,https://www.coursera.org/specializations/computational-neuroscience,specialization,familiarize yourself with fundamental concepts in neuroscience like functional magnetic resonance imaging (fmri) neurohacking (in r) and neuroimaging.,4.6,5,3.1k,intermediate,3 - 6 months,statistical programming - r programming - probability & statistics - data management - data structures - data analysis - statistical analysis - data visualization - visualization (computer graphics) - general statistics - research and design - experiment - correlation and dependence - mathematical theory & analysis - process analysis - spatial analysis - spatial data analysis - bioinformatics - extract - transform - load - computer programming,none,paid 
coursera-376,coursera,michigan state university,photography basics and beyond: from smartphone to dslr,https://www.coursera.org/specializations/photography-basics,specialization,create photographs you will be proud to share.. build a solid foundation in digital photography growing in knowledge from camera to composition!,4.7,5,6.2k,beginner,3 - 6 months,creativity - social media - operations management - writing,none,paid 
coursera-377,coursera,google,google project management (pt),https://www.coursera.org/professional-certificates/gestao-de-projetos-do-google,professional certificate,seu caminho para gerenciamento de projetos. neste programa você aprenderá as habilidades necessárias para começar a trabalhar em menos de seis meses.,4.9,5,1.9k,beginner,3 - 6 months,project management - process analysis - collaboration - organizational development - communication - decision making - strategy - product management - business communication - adaptability - agile software development - change management - leadership and management - people analysis - scrum (software development) - strategy and operations - budget management - continuous integration - risk management - spreadsheet software - professional development - programming principles - application development,não é necessário diploma nem experiência,paid 
